han	han+Pcle
almmatge	almmatge+Adv

ABC	ABC+N+ACR+Sg+Acc
ABC	ABC+N+ACR+Sg+Gen
ABC	ABC+N+ACR+Sg+Nom

vuostálasti	vuostálasti+N+NomAg+Sg+Acc
vuostálasti	vuostálasti+N+NomAg+Sg+Gen
vuostálasti	vuostálasti+N+NomAg+Sg+Nom
vuostálasti	vuostálastit+V+TV+PrsPrc
vuostálasti	vuostálastit+V+TV+Imprt+Du2

vuoššat	vuoššat+V+TV+Inf
vuoššat	vuoššat+V+TV+Ind+Prs+Pl1
vuoššat	vuoššat+V+TV+Ind+Prs+Sg2

váidalan	váidalit+V+TV+PrfPrc
váidalan	váidalit+V+TV+Actio+Gen
váidalan	váidalit+V+TV+Actio+Nom
váidalan	váidalit+V+TV+Ind+Prt+ConNeg
váidalan	váidalit+V+TV+Ind+Prs+Sg1

váiban	váibat+V+IV+PrfPrc
váiban	váibat+V+IV+Actio+Gen
váiban	váibat+V+IV+Actio+Nom
váiban	váibat+V+IV+Ind+Prt+ConNeg


soalddáhiid	soalddát+N+Pl+Acc
soalddáhiid	soalddát+N+Pl+Gen

siđai	sihtat+V+TV+Ind+Prt+Sg3
siđai	sihtat+V+TV+Ind+Prt+Err/Orth+Sg3

sevdnjes	seavdnjat+A+Attr

Raavrhvijhkes	Raavrhvijhke+N+Prop+Sem/Sur+Sg+Loc
Raavrhvijhkes	Raavrhvijhke+N+Prop+Sem/Plc+Sg+Loc

realskuvlla	reálaskuvla+Err/Orth+N+Sg+Acc
realskuvlla	reálaskuvla+Err/Orth+N+Sg+Gen

ovdagáttut	ovdagáddu+N+Pl+Nom

O97S	O97S+N+ACR+Sg+Acc
O97S	O97S+N+ACR+Sg+Gen
O97S	O97S+N+ACR+Sg+Nom

norgalaččat	norgalaš+N+Pl+Nom
norgalaččat	norgalaš+A+Pl+Nom

nisu	nisu+N+Sg+Nom
nisu	nissut+V+TV+VGen
nisu	nissut+V+TV+Ind+Prs+Err/Orth+ConNeg

masá	masá+Adv

máhcce	máhccat+V+IV+Ind+Prs+Du1
máhcce	máhccat+V+IV+Ind+Prt+Pl3

lovttas	lokta+N+Sg+Loc

logenáre	logenáre+Adv

ihkku	ihkku+Adv

iđđedis	iđđedis+Adv

Haaland	Haaland+N+Prop+Sem/Sur+Attr
Haaland	Haaland+N+Prop+Sem/Sur+Sg+Acc
Haaland	Haaland+N+Prop+Sem/Sur+Sg+Gen
Haaland	Haaland+N+Prop+Sem/Sur+Sg+Nom

hutkan	hutkan+N+Sg+Gen
hutkan	hutkan+N+Sg+Nom
hutkan	hutkat+V+TV+PrfPrc
hutkan	hutkat+V+TV+Actio+Gen
hutkan	hutkat+V+TV+Actio+Nom
hutkan	hutkat+V+TV+Ind+Prt+ConNeg

hupmu	hupmu+N+Sg+Nom

golai	gollat+V+IV+Ind+Prt+Sg3
golai	gollat+V+IV+Ind+Prt+Err/Orth+Sg3

goasii	goasii+Adv

goarggu	goargu+N+Sg+Acc
goarggu	goargu+N+Sg+Gen
goarggu	goargut+V+IV+VGen


gáfe	gáffe+N+Sg+Acc
gáfe	gáffe+N+Sg+Gen
